Timestamp,Region,Resource Type,Resource Name,Status,Action Taken
2026-06-28 12:23:49,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:23:49,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:23:49,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:24:49,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:24:49,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:24:49,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:24:49,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:24:49,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:25:50,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:25:50,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:25:50,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:25:50,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:25:50,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:26:50,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:26:50,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:26:50,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:26:50,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:26:50,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:27:50,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:27:50,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:27:51,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:27:51,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:27:51,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:28:51,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:28:51,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:28:51,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:28:51,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:28:52,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:29:52,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
